Name,Highly_Influential_Citations,Highly_Influential_Citations_Updated,Semantic Scholar URL,hindexscopus2019,Papers_by_author_scopus_2019,Total_citations_scopus_2019,Hindex_2014_google_scholar,Hindex_google_scholar_overall,Scopus_URL,Google_scholar_URL,Affiliation,City,Citations All (Google Scholar),Citations (Since 2014),Expertise
Chandra Sekhar Seelamantula,29,30,https://www.semanticscholar.org/author/Chandra-Sekhar-Seelamantula/1773340,13,127,700,15,18,https://www.scopus.com/authid/detail.uri?authorId=24779785600,https://scholar.google.com/citations?user=1g1i1B4AAAAJ&hl=en,IISc Bangalore,Bengaluru,1264,870,Sparse Signal/Image Processing /ImagingSampling TheoriesWavelets and SplinesSpeech/Audio ProcessingMachine Learning
Vijay Gabale,28,30,https://www.semanticscholar.org/author/Chandra-Sekhar-Seelamantula/1773340,5,26,159,7,8,https://www.scopus.com/authid/detail.uri?authorId=36617192100,https://scholar.google.com/citations?user=bqkiZbYAAAAJ&hl=en,Huew (Infilect),Bengaluru,289,178,Deep Learning Machine Learning Algorithms Wireless Networking Computer Networking
Durga Prasad Muni,27,27,https://www.semanticscholar.org/author/Durga-Prasad-Muni/2522866,4,10,335,4,6,https://www.scopus.com/authid/detail.uri?authorId=6508113341,https://scholar.google.com/citations?user=fdExVFQAAAAJ&hl=en,Infosys,Bengaluru,539,211,Machine Learning Deep Learning Pattern Recognition Evolutionary Algorithms
Anand Chandrasekaran,27,24,https://www.semanticscholar.org/author/Anand-Chandrasekaran/39902925,3,3,180,,,https://www.scopus.com/authid/detail.uri?authorId=8512108300,0,Mad Street Den,Chennai,,0,"Machine Learning, Software Development, Pattern Recognition"
Subir Kumar Saha,26,34,https://www.semanticscholar.org/author/Subir-Kumar-Saha/2614693,19,135,1040,20,30,https://www.scopus.com/authid/detail.uri?authorId=7403281143,https://scholar.google.com/citations?user=9Td4hFMAAAAJ&hl=en,IIT Delhi,New Delhi,3998,2297,Dynamics Robotics Multibody Dynamics Design
Amitabha Mukerjee,26,26,https://www.semanticscholar.org/author/Amitabha-Mukerjee/1803835,9,84,293,10,17,https://www.scopus.com/authid/detail.uri?authorId=7005533941,https://scholar.google.com/citations?user=6lD1AscAAAAJ&hl=en,IIT Kanpur,Kanpur,1349,297,Machine Learning Computer Vision Artificial intelligence cognitive science Robotics
Shashank Gupta,20,20,https://www.semanticscholar.org/author/Shashank-Gupta/40014740,8,32,193,4,4,https://www.scopus.com/authid/detail.uri?authorId=56925715300,https://scholar.google.com/citations?user=UvTcU-IAAAAJ&hl=en,BITS Pilani,Bengaluru,111,111,Machine Learning Natural Language Processing Deep Learning
Girish Keshav Palshikar,26,21,https://www.semanticscholar.org/author/Girish-Keshav-Palshikar/1747097,7,47,240,9,13,https://www.scopus.com/authid/detail.uri?authorId=55890466600,https://scholar.google.co.in/citations?user=vXtdUZEAAAAJ&hl=en,TRDDC,Pune,888,540,Data Mining Machine Learning Text Mining Pattern Recognition Artificial intelligence
V Srinivasa Chakravarthy,24,25,https://www.semanticscholar.org/author/V.-Srinivasa-Chakravarthy/1819864,17,86,834,18,23,https://www.scopus.com/authid/detail.uri?authorId=8408254600,https://scholar.google.com/citations?user=4PqxB3gAAAAJ&hl=en,IIT Madras,Chennai,1872,956,Computational neuroscience computational cardiology Pattern Recognition ...
Chandra Sekhar Chellu,24,35,https://www.semanticscholar.org/author/Chellu-Chandra-Sekhar/1685874,8,43,179,12,17,https://www.scopus.com/authid/detail.uri?authorId=7003349413,https://scholar.google.com/citations?user=rO5ZgW4AAAAJ&hl=en,IIT Madras,Chennai,871,379,Speech Technology Support Vector Machine Kernel Methods Content based information retrieval
